,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country
85,CE Bulfin ,1999-1999,4,2,1,9,7*,9.00,8,112.50,0,0,0,0,1,NEW ZEALAND
86,MG Burgess ,1973-1981,26,20,0,336,47,16.80,515,65.24,0,0,1,19,2,NEW ZEALAND
87,IG Butler ,2002-2010,26,13,5,84,25,10.50,154,54.54,0,0,2,6,2,NEW ZEALAND
88,BL Cairns ,1974-1985,78,65,6,987,60,16.72,941,104.88,0,2,6,70+,41+,NEW ZEALAND
89,CL Cairns ,1991-2006,214,192,25,4881,115,29.22,5827,83.76,4,25,9,339,151,NEW ZEALAND
90,TK Canning ,2003-2005,4,4,1,52,23*,17.33,73,71.23,0,0,1,1,2,NEW ZEALAND
91,MS Chapman ,2018-2020,4,4,0,10,8,2.50,25,40.00,0,0,1,1,0,NEW ZEALAND
92,EJ Chatfield ,1979-1989,114,48,37,118,19*,10.72,346,34.10,0,0,6,6,0,NEW ZEALAND
93,RO Collinge ,1973-1978,15,9,3,34,9,5.66,62,54.83,0,0,1,0+,1+,NEW ZEALAND
94,PG Coman ,1973-1974,3,3,0,62,38,20.66,104,59.61,0,0,1,3+,2+,NEW ZEALAND
95,JV Coney ,1979-1987,88,80,19,1874,66*,30.72,2885,64.95,0,8,1,128,12,NEW ZEALAND
96,BE Congdon ,1973-1978,11,9,3,338,101,56.33,472,71.61,1,2,0,29,2,NEW ZEALAND
97,DP Conway ,2021-2021,3,3,0,225,126,75.00,255,88.23,1,1,0,26,0,NEW ZEALAND
98,JJ Crowe ,1983-1990,75,71,12,1518,88*,25.72,2456,61.80,0,7,6,110,12,NEW ZEALAND
99,MD Crowe ,1982-1995,143,140,18,4704,107*,38.55,6476,72.63,4,34,3,378,29,NEW ZEALAND
100,CD Cumming ,2003-2009,13,13,1,161,45*,13.41,301,53.48,0,0,3,20,0,NEW ZEALAND
101,HT Davis ,1994-1997,11,6,4,13,7*,6.50,33,39.39,0,0,1,0,0,NEW ZEALAND
102,C de Grandhomme ,2012-2020,42,33,7,722,74*,27.76,654,110.39,0,4,2,57,29,NEW ZEALAND
103,RP de Groen ,1993-1994,12,8,3,12,7*,2.40,36,33.33,0,0,4,0,0,NEW ZEALAND
104,AP Devcich ,2013-2016,12,11,0,195,58,17.72,253,77.07,0,1,2,25,0,NEW ZEALAND
105,BJ Diamanti ,2009-2009,1,1,1,26,26*,-,22,118.18,0,0,0,3,0,NEW ZEALAND
106,MW Douglas ,1994-1995,6,6,0,55,30,9.16,123,44.71,0,0,1,2,1,NEW ZEALAND
107,SB Doull ,1992-2000,42,27,13,172,22,12.28,188,91.48,0,0,2,12,5,NEW ZEALAND
108,CJ Drum ,1999-1999,5,2,2,9,7*,-,22,40.90,0,0,0,1,0,NEW ZEALAND
109,BA Edgar ,1978-1986,64,64,5,1814,102*,30.74,3685,49.22,1,10,3,126+,3+,NEW ZEALAND
