,index,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country,Debut Year,Last Year,Total Years,Innings per Matches,Not outs per innings,Arithmatic Average of Total Runs by Inns Played,Not Out when scored highest,HS Numeric,100's per innings,50's per innings,0's per innings,4s numeric,6s numeric,boundaries,4s per Inns,6s per Inns,Boundary Ave per Inns,boundaries per innings,runs scored by boundaries,boundaries to runs ratio,runs without boundaries,BF without boundaries,Strike Rate without boundaries,Avg runs per year
503,1197,DA Warner ,2009-2020,128,126.0,6.0,5455.0,179,45.45,5710.0,95.53,18.0,23.0,2.0,571,85,AUSTRALIA,2009,2020,11,0.984375,0.047619047619047616,43.29365079365079,0,179,0.14285714285714285,0.18253968253968253,0.015873015873015872,571,85,656,4.531746031746032,0.6746031746031746,22.174603174603174,5.2063492063492065,2794,0.5121906507791018,2661.0,5054.0,52.65136525524338,495.90909090909093
504,1199,SR Watson ,2002-2015,190,169.0,27.0,5757.0,185*,40.54,6365.0,90.44,9.0,33.0,12.0,570,131,AUSTRALIA,2002,2015,13,0.8894736842105263,0.15976331360946747,34.06508875739645,1,185,0.05325443786982249,0.1952662721893491,0.07100591715976332,570,131,701,3.3727810650887573,0.7751479289940828,18.142011834319526,4.14792899408284,3066,0.532569046378322,2691.0,5664.0,47.51059322033898,442.84615384615387
505,1200,ME Waugh ,1988-2002,244,236.0,20.0,8500.0,173,39.35,11053.0,76.9,18.0,50.0,16.0,651,57,AUSTRALIA,1988,2002,14,0.9672131147540983,0.0847457627118644,36.016949152542374,0,173,0.07627118644067797,0.211864406779661,0.06779661016949153,651,57,708,2.7584745762711864,0.24152542372881355,12.483050847457626,3.0,2946,0.34658823529411764,5554.0,10345.0,53.68777187046882,607.1428571428571
506,1201,SR Waugh ,1986-2002,325,288.0,58.0,7569.0,120*,32.9,9971.0,75.91,3.0,45.0,15.0,530,68,AUSTRALIA,1986,2002,16,0.8861538461538462,0.2013888888888889,26.28125,1,120,0.010416666666666666,0.15625,0.052083333333333336,530,68,598,1.8402777777777777,0.2361111111111111,8.777777777777777,2.076388888888889,2528,0.3339939225789404,5041.0,9373.0,53.78214018990718,473.0625
507,1202,DM Wellham ,1981-1987,17,17.0,2.0,379.0,97,25.26,699.0,54.22,0.0,1.0,0.0,16,0,AUSTRALIA,1981,1987,6,1.0,0.11764705882352941,22.294117647058822,0,97,0.0,0.058823529411764705,0.0,16,0,16,0.9411764705882353,0.0,3.764705882352941,0.9411764705882353,64,0.16886543535620052,315.0,683.0,46.120058565153734,63.166666666666664
508,1205,CL White ,2005-2018,91,77.0,16.0,2072.0,105,33.96,2586.0,80.12,2.0,11.0,4.0,145,45,AUSTRALIA,2005,2018,13,0.8461538461538461,0.2077922077922078,26.90909090909091,0,105,0.025974025974025976,0.14285714285714285,0.05194805194805195,145,45,190,1.8831168831168832,0.5844155844155844,11.03896103896104,2.4675324675324677,850,0.41023166023166024,1222.0,2396.0,51.0016694490818,159.3846153846154
509,1206,MR Whitney ,1983-1993,38,13.0,7.0,40.0,9*,6.66,90.0,44.44,0.0,0.0,1.0,2,0,AUSTRALIA,1983,1993,10,0.34210526315789475,0.5384615384615384,3.076923076923077,1,9,0.0,0.0,0.07692307692307693,2,0,2,0.15384615384615385,0.0,0.6153846153846154,0.15384615384615385,8,0.2,32.0,88.0,36.36363636363637,4.0
510,1210,GM Wood ,1978-1989,83,77.0,11.0,2219.0,114*,33.62,3725.0,59.57,3.0,11.0,4.0,172+,4+,AUSTRALIA,1978,1989,11,0.927710843373494,0.14285714285714285,28.818181818181817,1,114,0.03896103896103896,0.14285714285714285,0.05194805194805195,172,4,176,2.2337662337662336,0.05194805194805195,9.246753246753245,2.2857142857142856,712,0.32086525461919785,1507.0,3549.0,42.46266553958862,201.72727272727272
511,1215,GN Yallop ,1978-1984,30,27.0,6.0,823.0,66*,39.19,1288.0,63.89,0.0,7.0,1.0,64,3,AUSTRALIA,1978,1984,6,0.9,0.2222222222222222,30.48148148148148,1,66,0.0,0.25925925925925924,0.037037037037037035,64,3,67,2.3703703703703702,0.1111111111111111,10.148148148148147,2.4814814814814814,274,0.33292831105710813,549.0,1221.0,44.96314496314496,137.16666666666666
512,1216,B Yardley ,1978-1983,7,4.0,0.0,58.0,28,14.5,98.0,59.18,0.0,0.0,1.0,1,0,AUSTRALIA,1978,1983,5,0.5714285714285714,0.0,14.5,0,28,0.0,0.0,0.25,1,0,1,0.25,0.0,1.0,0.25,4,0.06896551724137931,54.0,97.0,55.670103092783506,11.6
513,1218,A Zampa ,2016-2021,64,29.0,8.0,176.0,36,8.38,283.0,62.19,0.0,0.0,3.0,14,1,AUSTRALIA,2016,2021,5,0.453125,0.27586206896551724,6.068965517241379,0,36,0.0,0.0,0.10344827586206896,14,1,15,0.4827586206896552,0.034482758620689655,2.137931034482759,0.5172413793103449,62,0.3522727272727273,114.0,268.0,42.53731343283582,35.2
514,1220,TJ Zoehrer ,1986-1994,22,15.0,3.0,130.0,50,10.83,183.0,71.03,0.0,1.0,2.0,9,0,AUSTRALIA,1986,1994,8,0.6818181818181818,0.2,8.666666666666666,0,50,0.0,0.06666666666666667,0.13333333333333333,9,0,9,0.6,0.0,2.4,0.6,36,0.27692307692307694,94.0,174.0,54.02298850574713,16.25
515,1224,MM Ali ,2014-2021,112,89.0,14.0,1877.0,128,25.02,1853.0,101.29,3.0,5.0,6.0,162,63,ENGLAND,2014,2021,7,0.7946428571428571,0.15730337078651685,21.089887640449437,0,128,0.033707865168539325,0.056179775280898875,0.06741573033707865,162,63,225,1.8202247191011236,0.7078651685393258,11.52808988764045,2.5280898876404496,1026,0.5466169419286094,851.0,1628.0,52.27272727272727,268.14285714285717
516,1228,DL Amiss ,1972-1977,18,18.0,0.0,859.0,137,47.72,1185.0,72.48,4.0,1.0,0.0,94,1,ENGLAND,1972,1977,5,1.0,0.0,47.72222222222222,0,137,0.2222222222222222,0.05555555555555555,0.0,94,1,95,5.222222222222222,0.05555555555555555,21.22222222222222,5.277777777777778,382,0.4447031431897555,477.0,1090.0,43.76146788990825,171.8
517,1229,JM Anderson ,2002-2015,194,79.0,43.0,273.0,28,7.58,561.0,48.66,0.0,0.0,10.0,23,0,ENGLAND,2002,2015,13,0.4072164948453608,0.5443037974683544,3.4556962025316458,0,28,0.0,0.0,0.12658227848101267,23,0,23,0.2911392405063291,0.0,1.1645569620253164,0.2911392405063291,92,0.336996336996337,181.0,538.0,33.64312267657992,21.0
518,1233,MA Atherton ,1990-1998,54,54.0,3.0,1791.0,127,35.11,3054.0,58.64,2.0,12.0,4.0,155,1,ENGLAND,1990,1998,8,1.0,0.05555555555555555,33.166666666666664,0,127,0.037037037037037035,0.2222222222222222,0.07407407407407407,155,1,156,2.8703703703703702,0.018518518518518517,11.592592592592592,2.888888888888889,626,0.34952540480178673,1165.0,2898.0,40.200138026224984,223.875
519,1234,CWJ Athey ,1980-1988,31,30.0,3.0,848.0,142*,31.4,1495.0,56.72,2.0,4.0,1.0,54,4,ENGLAND,1980,1988,8,0.967741935483871,0.1,28.266666666666666,1,142,0.06666666666666667,0.13333333333333333,0.03333333333333333,54,4,58,1.8,0.13333333333333333,8.0,1.9333333333333333,240,0.2830188679245283,608.0,1437.0,42.31036882393876,106.0
